candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ridge_lean_v1,model,ridge,BND,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.09263298066431477,0.092386694560886,0.04597448150796958,0.04277173944980364,0.7166666666666667,150,0.43988266145162014,0.7266666666666667,0.1285655119346581,-0.4406650109003325,0.43988266145162014,0.00017404456214897658,
gbt_lean_plus_two,model,gbt,BND,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.08848879283845884,0.08733468403462068,0.04500950467936912,0.037719728923538344,0.77,150,0.2214496330256519,0.6466666666666666,0.12697016978529224,-0.23363332325461084,0.2214496330256519,0.038008760184417886,
elasticnet_lean_v1,model,elasticnet,BND,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.07778471983875422,0.08289984522098605,0.03886032254522193,0.03328489010990371,0.76,150,0.1441548645047678,0.6266666666666667,0.12505839084157225,-0.3350644644068226,0.1441548645047678,0.29263149933683585,
ensemble_ridge_gbt,ensemble,ridge+gbt,BND,25,"ridge_lean_v1,gbt_lean_plus_two",0.1039255729195069,0.09474623745505215,0.04783655398817104,0.04513128234396983,0.7666666666666667,150,0.4051113382817014,0.7666666666666667,0.11533488340337908,-0.05210924117266558,0.4051113382817014,0.00046888057695232,
baseline_historical_mean,baseline,baseline,BND,0,,0.09922991022216468,0.09915367240042058,0.05054623176914059,0.04953871728933824,0.98,150,-0.008497656200825987,0.7466666666666667,0.11267042251140864,-0.08277969660567464,-0.008497656200825987,0.9617225424806114,historical_mean
live_production_ensemble,live_ensemble,ensemble,VNQ,13,,0.05219725991748622,0.05483479118052601,0.029426277260274216,0.022588276882211118,0.6083333333333333,180,0.2474356204409601,0.5444444444444444,0.14743934281402837,-0.36090541070839555,0.2474356204409601,0.055316221407293156,
ridge_lean_v1,model,ridge,VNQ,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.05705002723600759,0.058785408782914536,0.028956958596057576,0.02653889448459964,0.625,180,0.3389816558124222,0.5777777777777777,0.13429218423299363,-0.09887204270034333,0.3389816558124222,0.004631152961975198,
gbt_lean_plus_two,model,gbt,VNQ,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.051450090763712965,0.051507496602537874,0.02837456134771697,0.01926098230422298,0.6166666666666667,180,0.16610414496938558,0.5722222222222222,0.1704483924654824,-0.7638351002066999,0.16610414496938558,0.20392040933665714,
elasticnet_lean_v1,model,elasticnet,VNQ,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.05453236497715397,0.0531939908122275,0.028995735130440466,0.020947476513912603,0.575,180,0.28711719613373204,0.6,0.16141682954599898,-0.6116391807792634,0.28711719613373204,0.008990681307543269,
ensemble_ridge_gbt,ensemble,ridge+gbt,VNQ,25,"ridge_lean_v1,gbt_lean_plus_two",0.05974701220095157,0.059526022188795845,0.027710592166644756,0.02727950789048094,0.6555555555555556,180,0.2819840118522176,0.5944444444444444,0.1401771685217271,-0.17892141263901284,0.2819840118522176,0.03192336119034593,
baseline_historical_mean,baseline,baseline,VNQ,0,,0.06363720351983806,0.05371531690195026,0.018908040549258844,0.021468802603635366,0.7,180,0.09032319154821618,0.6444444444444445,0.1335487831852003,-0.10631752314990028,0.09032319154821618,0.5775258779652583,historical_mean
