model_type,variant,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
gbt,plus_buyback_yield,VXUS,175,12,0.11944087894956017,0.6862745098039216,0.14894193913041673,-0.15472509105356003
gbt,plus_buyback_acceleration,VTI,291,12,0.09660303644382336,0.5855855855855856,0.15818281075923943,-0.7541750072927909
gbt,plus_buyback_acceleration,VOO,180,12,0.03020039918186149,0.5462962962962963,0.25775898525278734,-4.988454744549842
gbt,plus_buyback_acceleration,VFH,259,12,0.21954732136558383,0.5860215053763441,0.13926698324079645,-0.446900466435614
gbt,plus_buyback_acceleration,BND,221,12,0.06923722425392541,0.64,0.1307241597955095,-0.35697898807103967
gbt,plus_buyback_acceleration,VHT,259,12,0.12744040800708883,0.6182795698924731,0.13520987921189442,-0.41291174088328986
gbt,plus_buyback_acceleration,GLD,250,12,-0.008106254800282976,0.5055555555555555,0.18695178421518197,-0.6414425741548568
gbt,plus_buyback_acceleration,VNQ,251,12,0.17562173084934457,0.6,0.16911668867153537,-0.907601813957734
gbt,plus_buyback_acceleration,VXUS,175,12,0.17315483682832444,0.696078431372549,0.14666462162920232,-0.1278573290575158
gbt,plus_both_buyback_features,VTI,291,13,0.09467383257640649,0.5720720720720721,0.15479828149077213,-0.7013474459054567
gbt,plus_both_buyback_features,VOO,180,13,0.03135784768110925,0.5185185185185185,0.2678458163522234,-5.485035830807254
gbt,plus_both_buyback_features,VFH,259,13,0.23825981630153456,0.5645161290322581,0.14225462710912698,-0.4685702178493032
gbt,plus_both_buyback_features,BND,221,13,0.11104029271031363,0.6066666666666667,0.12988085505546043,-0.3432281858756663
gbt,plus_both_buyback_features,VHT,259,13,0.12613298932180222,0.5913978494623656,0.13400023076038955,-0.35247412136180256
gbt,plus_both_buyback_features,GLD,250,13,0.024110962900780013,0.5111111111111111,0.1907557970530612,-0.7500297039528077
gbt,plus_both_buyback_features,VNQ,251,13,0.19477809072431926,0.5944444444444444,0.16660747598301517,-0.7987191751699847
gbt,plus_both_buyback_features,VXUS,175,13,0.18476988588078058,0.6568627450980392,0.14657712006120344,-0.11278807725368667
