subset_label,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VNQ,251,14,0.03927692411574311,0.5277777777777778,0.19459672647825926,-1.3520643299775625
B_plus_C__combined_ratio_ttm__pif_growth_yoy__pb_ratio,VXUS,175,14,-0.0714277690825057,0.5196078431372549,0.2086574712966135,-1.023866912522006
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VTI,291,14,-0.0761286768815251,0.45495495495495497,0.18781759396252443,-2.5337801579236605
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VOO,180,14,-0.04124119304172559,0.37037037037037035,0.20789262233339903,-1.6859061046438701
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VFH,259,14,-0.03166985363632644,0.4731182795698925,0.15981247142242078,-0.8751093146183588
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,BND,221,14,-0.036720806289261866,0.66,0.13502287941899263,-0.5483418336728183
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VHT,259,14,0.13350507113659024,0.5645161290322581,0.14051882436067825,-0.5194622586590809
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,GLD,250,14,0.09907233682111485,0.5888888888888889,0.18329213293141994,-0.7508229031150768
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VNQ,251,14,0.1569641527261591,0.5777777777777777,0.16810176333459917,-0.7791827097464534
B_plus_C__combined_ratio_ttm__gainshare_est__pe_ratio,VXUS,175,14,-0.08707164658255409,0.6274509803921569,0.17162373385631138,-0.4493473914120165
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VTI,291,14,-0.16382203626535588,0.44144144144144143,0.21119314749788864,-3.763432157540822
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VOO,180,14,-0.16240595984299633,0.37037037037037035,0.24805858525216126,-3.312465260836035
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VFH,259,14,0.014876898812965333,0.46236559139784944,0.16354900725516736,-0.9488053382061932
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,BND,221,14,-0.07874200590579147,0.5866666666666667,0.16224796959970011,-1.3672204124357874
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VHT,259,14,0.0564672163791154,0.5376344086021505,0.15011507823736664,-0.6491374004865205
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,GLD,250,14,0.07845126604504066,0.5722222222222222,0.19516916924382058,-1.010035016426328
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VNQ,251,14,0.015071604947853328,0.5,0.19190090211515548,-1.387568876606469
B_plus_C__combined_ratio_ttm__gainshare_est__pb_ratio,VXUS,175,14,-0.05392578780894329,0.5588235294117647,0.18899070701335607,-0.7735625829333568
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VTI,291,14,-0.14480195283041594,0.4144144144144144,0.22237160073322465,-5.342415769812521
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VOO,180,14,-0.12202723426984988,0.3333333333333333,0.2449493032070787,-3.1992113888640876
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VFH,259,14,-0.08995574407190933,0.46236559139784944,0.15699277299805642,-0.7208179213557795
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,BND,221,14,-0.02062988448862065,0.5733333333333334,0.15870179972704884,-1.2460712592810643
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VHT,259,14,0.08445001013337623,0.532258064516129,0.14762317528461966,-0.5546606015286633
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,GLD,250,14,0.0620807030190093,0.5666666666666667,0.20113283301665427,-1.1273495376021354
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VNQ,251,14,0.11521075987030864,0.5555555555555556,0.17708383844966344,-0.9360505493446296
B_plus_C__combined_ratio_ttm__pe_ratio__pb_ratio,VXUS,175,14,-0.044524271042084604,0.5098039215686274,0.19877726101976545,-0.8015277295458587
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VTI,291,14,0.016057232867424467,0.5,0.17903028624440426,-1.7093466212933675
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VOO,180,14,5.241964778450698e-05,0.4444444444444444,0.17603861094227444,-0.8717411557237194
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VFH,259,14,0.02829797640582902,0.4946236559139785,0.16130509086031597,-0.9752110314836415
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,BND,221,14,0.0029891486096056998,0.68,0.13374990395125466,-0.5305591539423649
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VHT,259,14,0.15995661672972708,0.5967741935483871,0.14109185335729432,-0.4211580582342871
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,GLD,250,14,0.020405192018973634,0.5722222222222222,0.19545954570032717,-0.9810687133398113
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VNQ,251,14,0.18914945084784027,0.6166666666666667,0.174329592151733,-0.8778651967428106
B_plus_C__pif_growth_yoy__gainshare_est__pe_ratio,VXUS,175,14,-0.19511038558102792,0.6176470588235294,0.17604968451808106,-0.4851646983680038
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VTI,291,14,-0.11871942570901049,0.44594594594594594,0.1995556056077125,-2.745491404380388
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VOO,180,14,-0.2391732547533202,0.4074074074074074,0.2087709795443215,-1.5664777405355501
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VFH,259,14,-0.023207503886108736,0.45698924731182794,0.17296205066960538,-1.1769842928802379
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,BND,221,14,-0.03508890500618015,0.6133333333333333,0.15419619693465947,-1.1635356876677934
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VHT,259,14,0.1686772410341645,0.5967741935483871,0.14966739183657055,-0.5546487478410849
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,GLD,250,14,0.10550920021730043,0.6222222222222222,0.19243842418241688,-0.9167985924499533
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VNQ,251,14,0.09064740506629498,0.5666666666666667,0.17794455502273215,-1.1144128840086251
B_plus_C__pif_growth_yoy__gainshare_est__pb_ratio,VXUS,175,14,-0.19764532476751082,0.47058823529411764,0.21074404183347403,-1.0796399461875845
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,VTI,291,14,-0.08747092868741513,0.43243243243243246,0.19238813333264582,-1.8936583222005803
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,VOO,180,14,-0.12269533377342737,0.35185185185185186,0.2089352996382765,-1.4598599647310984
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,VFH,259,14,-0.16503647645805722,0.40860215053763443,0.17247543823577668,-1.087566680416871
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,BND,221,14,-0.0896799438984343,0.6066666666666667,0.16091162275987425,-1.2609663023767936
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,VHT,259,14,0.11891008353962873,0.5698924731182796,0.15629937791739748,-0.6545156400829459
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,GLD,250,14,0.0336484220731273,0.5833333333333334,0.20080120584126723,-1.061983230521006
B_plus_C__pif_growth_yoy__pe_ratio__pb_ratio,VNQ,251,14,0.15780873889488947,0.5777777777777777,0.17656991969535807,-0.9612380118110166
