benchmark,target_horizon,date,before,after,data_only,delta,status,sign_flip,delta_data,delta_window
VIS,6,2010-06-30,-0.1638941459,-0.1593371627,-0.1638941459,0.0045569832,changed,False,0,0.0045569832
VIS,6,2012-02-29,-0.06736220963,-0.07086512706,-0.06736220963,-0.003502917435,changed,False,0,-0.003502917435
VIS,6,2012-11-30,0.02595379265,0.01461592554,0.02595379265,-0.01133786711,changed,False,0,-0.01133786711
VIS,6,2013-02-28,-0.08731306951,-0.0753028429,-0.08731306951,0.0120102266,changed,False,0,0.0120102266
VIS,6,2013-11-29,-0.1307807732,-0.1434523042,-0.1307807732,-0.01267153101,changed,False,0,-0.01267153101
VIS,6,2014-02-28,-0.03049284483,-0.01899915432,-0.03049284483,0.01149369051,changed,False,0,0.01149369051
VIS,6,2014-04-30,0.07022803448,0.0620992806,0.07022803448,-0.008128753884,changed,False,0,-0.008128753884
VIS,6,2014-11-28,0.005229595155,0.02568969797,0.005229595155,0.02046010282,changed,False,0,0.02046010282
VIS,6,2015-01-30,0.2123641304,0.1868395296,0.2123641304,-0.02552460075,changed,False,0,-0.02552460075
VIS,6,2015-02-27,0.2132097839,0.2107142574,0.2132097839,-0.002495526487,changed,False,0,-0.002495526487
VIS,6,2015-06-30,0.1560500966,0.1565441842,0.1560500966,0.0004940875494,changed,False,0,0.0004940875494
VIS,6,2016-09-30,0.164722643,0.1399419751,0.164722643,-0.02478066796,changed,False,0,-0.02478066796
VIS,6,2018-02-28,0.1472209574,0.1528462035,0.1472209574,0.005625246132,changed,False,0,0.005625246132
VIS,6,2018-09-28,0.1339325635,0.09697701554,0.1339325635,-0.03695554801,changed,False,0,-0.03695554801
VIS,6,2018-11-30,0.2293470896,0.2386039201,0.2293470896,0.009256830546,changed,False,0,0.009256830546
VIS,6,2019-02-28,0.06959860987,0.04430362777,0.06959860987,-0.0252949821,changed,False,0,-0.0252949821
VIS,6,2020-06-30,-0.09940388386,-0.09674043338,-0.09940388386,0.00266345048,changed,False,0,0.00266345048
VIS,6,2021-01-29,-0.1131188548,-0.1087863028,-0.1131188548,0.004332552054,changed,False,0,0.004332552054
