date,predicted,realized,prob_sell,live_hold_fraction,shadow_hold_fraction,live_sell_pct,shadow_sell_pct,live_recommendation_mode,shadow_recommendation_mode,would_change,disagreement_label,live_policy_return,shadow_policy_return,shadow_minus_live,shadow_beat_live,monitor_month_number,cumulative_shadow_minus_live,expanding_shadow_minus_live_mean,expanding_agreement_rate,cumulative_disagreement_months,selected_variant,selected_gate_style,selected_threshold,selected_promotion_eligible
2015-04-30,0.028122403734273306,0.220033397850184,0.30439194434216715,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.110016698925092,0.110016698925092,0.0,False,55,0.0811991810789989,0.001476348746890889,0.8181818181818182,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-05-29,0.024254725858856015,0.16435159064351557,0.282216611554026,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.08217579532175778,0.08217579532175778,0.0,False,56,0.0811991810789989,0.0014499853764106945,0.8214285714285714,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-06-30,0.017962558499877282,0.1656097043654602,0.25507986418081563,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.0828048521827301,0.0828048521827301,0.0,False,57,0.0811991810789989,0.0014245470364736648,0.8245614035087719,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-07-31,0.007956680716174022,0.07743630444154852,0.23913445236835662,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.03871815222077426,0.03871815222077426,0.0,False,58,0.0811991810789989,0.0013999858806723947,0.8275862068965517,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-08-31,0.003367852857290645,0.10018581930093146,0.21838040132218986,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05009290965046573,0.05009290965046573,0.0,False,59,0.0811991810789989,0.0013762573064237098,0.8305084745762712,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-09-30,0.010155990691862873,0.10229211350175854,0.1972776288356012,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.05114605675087927,0.05114605675087927,0.0,False,60,0.0811991810789989,0.0013533196846499814,0.8333333333333334,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-10-30,0.00016150032631355882,-0.011125315633104902,0.1806591236613326,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.005562657816552451,-0.005562657816552451,0.0,False,61,0.0811991810789989,0.0013311341160491621,0.8360655737704918,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-11-30,0.0247905477324017,0.04575774723494546,0.17142442888482665,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,0.02287887361747273,0.02287887361747273,0.0,False,62,0.0811991810789989,0.0013096642109515948,0.8387096774193549,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2015-12-31,0.012109652888712134,-0.05338847634181674,0.16337815023875057,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.02669423817090837,-0.02669423817090837,0.0,False,63,0.0811991810789989,0.0012888758901428395,0.8412698412698413,10,gemini_veto_0.50,veto_regression_sell,0.5,True
2016-01-29,0.025277536837837254,-0.04571290366642167,0.17950104152955965,0.5,0.5,0.5,0.5,DEFER-TO-TAX-DEFAULT,DEFER-TO-TAX-DEFAULT,False,no_change,-0.022856451833210834,-0.022856451833210834,0.0,False,64,0.0811991810789989,0.0012687372043593576,0.84375,10,gemini_veto_0.50,veto_regression_sell,0.5,True
