feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
investment_yield_x_bvps,30,14,0.013815468985124011,0.4666666666666667,3,elastic_net_bridge,bridge_combined
buyback_yield,30,13,0.00699706172402623,0.43333333333333335,3,elastic_net_bridge,bridge_combined
bvps_yoy_dollar_change,30,13,0.005603349998668858,0.43333333333333335,3,elastic_net_bridge,bridge_combined
premium_growth_x_underwriting_margin,30,13,0.0018569637449387868,0.43333333333333335,3,elastic_net_bridge,bridge_combined
buyback_yield_x_pb_ratio,30,12,0.004078961592579765,0.4,3,elastic_net_bridge,bridge_combined
premium_to_surplus_x_cr_delta,30,11,0.0025019549664347246,0.36666666666666664,3,elastic_net_bridge,bridge_combined
q4_flag,30,11,0.002402165629334255,0.36666666666666664,3,elastic_net_bridge,bridge_combined
unrealized_gain_x_real_rate,30,10,0.010102246051669069,0.3333333333333333,3,elastic_net_bridge,bridge_combined
npw_growth_yoy,30,9,0.0010222696759383469,0.3,3,elastic_net_bridge,bridge_combined
underwriting_margin_ttm,30,8,0.008935335959493758,0.26666666666666666,3,elastic_net_bridge,bridge_combined
investment_book_yield,30,8,0.004392940126995143,0.26666666666666666,3,elastic_net_bridge,bridge_combined
current_bvps,29,29,0.0023555176455957024,1.0,6,ridge_bridge,bvps_lags
month_of_year,29,29,0.0014624093740217296,1.0,6,ridge_bridge,bvps_lags
bvps_growth_ytd,29,29,0.0012639738438721356,1.0,6,ridge_bridge,bvps_lags
bvps_growth_6m,29,29,0.001220880858654502,1.0,6,ridge_bridge,bvps_lags
bvps_growth_3m,29,29,0.0009544782880725321,1.0,6,ridge_bridge,bvps_lags
q4_flag,29,29,0.0009453124127746491,1.0,6,ridge_bridge,bvps_lags
bvps_yoy_dollar_change,29,29,0.0009396008839108923,1.0,6,ridge_bridge,bvps_lags
dividend_season_flag,29,29,0.0007905583339106862,1.0,6,ridge_bridge,bvps_lags
bvps_growth_1m,29,29,0.0005846208619170322,1.0,6,ridge_bridge,bvps_lags
bvps_growth_6m,29,29,0.029427600201325437,1.0,6,elastic_net_bridge,bvps_lags
current_bvps,29,27,0.05048056831500143,0.9310344827586207,6,elastic_net_bridge,bvps_lags
