model_family,model_type,feature,experiment_mode,feature_group,family,n_benchmarks,mean_delta_ic,mean_delta_oos_r2,mean_delta_balanced_accuracy,mean_delta_brier_score,mean_delta_score,positive_benchmark_count
classification,ridge,ta_ratio_ema_gap_12m_vmbs,replace_mom_12m,ratio_trend,trend,8,,,-0.03959170914477081,0.06235218913366228,-0.050971949139216544,1
classification,ridge,ta_ratio_ema_gap_12m_vmbs,replace_vix,ratio_trend,trend,8,,,-0.031209040198559503,0.05905782955151359,-0.04513343487503655,2
classification,ridge,ta_ratio_ema_gap_12m_vmbs,replace_vol_63d,ratio_trend,trend,8,,,-0.012031892486841674,0.015278015523387894,-0.013654954005114784,3
classification,ridge,ta_ratio_ema_gap_12m_voo,add_feature,ratio_trend,trend,8,,,-0.04639284296674174,0.05126697267537057,-0.04882990782105616,0
classification,ridge,ta_ratio_ema_gap_12m_voo,replace_mom_12m,ratio_trend,trend,8,,,-0.016799146176843652,0.02162662896380248,-0.019212887570323064,2
classification,ridge,ta_ratio_ema_gap_12m_voo,replace_vix,ratio_trend,trend,8,,,-0.014009858677098481,0.03198322019015514,-0.02299653943362681,1
classification,ridge,ta_ratio_ema_gap_12m_voo,replace_vol_63d,ratio_trend,trend,8,,,-0.010065031940769,0.009539809635145786,-0.009802420787957393,4
classification,ridge,ta_ratio_ema_gap_12m_vwo,add_feature,ratio_trend,trend,8,,,-0.01846736819614784,0.01813689828447242,-0.01830213324031013,3
classification,ridge,ta_ratio_ema_gap_12m_vwo,replace_mom_12m,ratio_trend,trend,8,,,0.00434853139584384,-0.004046660619246013,0.004197596007544926,5
classification,ridge,ta_ratio_ema_gap_12m_vwo,replace_vix,ratio_trend,trend,8,,,-0.006758709961028585,-0.0002588567142328829,-0.003249926623397851,6
classification,ridge,ta_ratio_ema_gap_12m_vwo,replace_vol_63d,ratio_trend,trend,8,,,0.008114864670658813,-0.016850571588102117,0.012482718129380465,7
classification,ridge,ta_ratio_ema_gap_12m_vxus,add_feature,ratio_trend,trend,8,,,-0.01572498097595785,0.029303458167493742,-0.022514219571725794,3
classification,ridge,ta_ratio_ema_gap_12m_vxus,replace_mom_12m,ratio_trend,trend,8,,,-0.007132402745290915,0.004767046413852897,-0.005949724579571906,4
classification,ridge,ta_ratio_ema_gap_12m_vxus,replace_vix,ratio_trend,trend,8,,,-0.008123184924480394,0.01347137742944179,-0.010797281176961092,4
classification,ridge,ta_ratio_ema_gap_12m_vxus,replace_vol_63d,ratio_trend,trend,8,,,0.002859232537219737,-0.004281514746028236,0.0035703736416239865,5
classification,ridge,ta_ratio_roc_6m_bnd,add_feature,ratio_momentum,momentum,8,,,-0.05230067933518295,0.03912299824614521,-0.045711838790664074,1
classification,ridge,ta_ratio_roc_6m_bnd,replace_mom_12m,ratio_momentum,momentum,8,,,-0.019137303924986727,0.014071700241533452,-0.01660450208326009,4
classification,ridge,ta_ratio_roc_6m_bnd,replace_vix,ratio_momentum,momentum,8,,,-0.04573290646149917,0.024042121154971598,-0.03488751380823538,1
classification,ridge,ta_ratio_roc_6m_bnd,replace_vol_63d,ratio_momentum,momentum,8,,,-0.027352070814828135,0.008843197297877997,-0.018097634056353066,4
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_adx_63d,add_feature,trend_strength_interaction,regime,8,,,-0.0619661501078964,0.07633792091819422,-0.06915203551304532,0
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_adx_63d,replace_mom_12m,trend_strength_interaction,regime,8,,,-0.0363147414502613,0.057584392793033554,-0.046949567121647426,2
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_adx_63d,replace_vix,trend_strength_interaction,regime,8,,,-0.04683940347956247,0.05782302495693321,-0.05233121421824784,2
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_adx_63d,replace_vol_63d,trend_strength_interaction,regime,8,,,-0.05710710182203545,0.06078694028389163,-0.05894702105296354,2
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_natr_63d,add_feature,volatility_interaction,regime,8,,,-0.023130482041163955,0.01729842215721112,-0.020214452099187537,2
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_natr_63d,replace_mom_12m,volatility_interaction,regime,8,,,0.0035264293194791144,-0.009943689493290577,0.006735059406384846,7
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_natr_63d,replace_vix,volatility_interaction,regime,8,,,-0.019379156354708445,0.0040129836883407224,-0.011696070021524584,5
classification,ridge,ta_ratio_roc_6m_bnd__x__ta_pgr_natr_63d,replace_vol_63d,volatility_interaction,regime,8,,,-0.017082866348072108,-0.004477839378513947,-0.006302513484779081,5
classification,ridge,ta_ratio_roc_6m_dbc,add_feature,ratio_momentum,momentum,8,,,-0.018403796737026724,0.02062623171584652,-0.019515014226436624,3
classification,ridge,ta_ratio_roc_6m_dbc,replace_mom_12m,ratio_momentum,momentum,8,,,-0.0007255256115967501,-0.006262028864712898,0.002768251626558074,6
classification,ridge,ta_ratio_roc_6m_dbc,replace_vix,ratio_momentum,momentum,8,,,-0.014248323322839936,0.0034955705506100228,-0.00887194693672498,6
classification,ridge,ta_ratio_roc_6m_dbc,replace_vol_63d,ratio_momentum,momentum,8,,,-0.002504814845055818,-0.0029367833814959235,0.00021598426822005273,4
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_adx_63d,add_feature,trend_strength_interaction,regime,8,,,0.0028528392102021224,0.0115014578901791,-0.004324309339988489,4
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_adx_63d,replace_mom_12m,trend_strength_interaction,regime,8,,,0.02598886310897934,-0.02119903881426381,0.023593950961621576,6
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_adx_63d,replace_vix,trend_strength_interaction,regime,8,,,0.01463395965877027,-0.008782068092310632,0.01170801387554045,6
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_adx_63d,replace_vol_63d,trend_strength_interaction,regime,8,,,0.012582287076119171,-0.00540954107539016,0.008995914075754665,4
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_natr_63d,add_feature,volatility_interaction,regime,8,,,-0.01733428765369157,0.010852598297847939,-0.014093442975769754,3
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_natr_63d,replace_mom_12m,volatility_interaction,regime,8,,,0.0027704811144463534,-0.016184191461234773,0.009477336287840562,6
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_natr_63d,replace_vix,volatility_interaction,regime,8,,,-0.006113060773467564,-0.00838341025688897,0.0011351747417107025,5
classification,ridge,ta_ratio_roc_6m_dbc__x__ta_pgr_natr_63d,replace_vol_63d,volatility_interaction,regime,8,,,0.005992682257644717,-0.012148496234612057,0.009070589246128387,5
classification,ridge,ta_ratio_roc_6m_gld,add_feature,ratio_momentum,momentum,8,,,-0.021767323664052055,0.022337553679053854,-0.022052438671552953,2
classification,ridge,ta_ratio_roc_6m_gld,replace_mom_12m,ratio_momentum,momentum,8,,,-0.019025603274496837,-0.007682528400236956,-0.005671537437129941,7
classification,ridge,ta_ratio_roc_6m_gld,replace_vix,ratio_momentum,momentum,8,,,-0.0067030049322696,0.006104494754002227,-0.006403749843135914,6
classification,ridge,ta_ratio_roc_6m_gld,replace_vol_63d,ratio_momentum,momentum,8,,,0.011397632168245152,-0.003227689724130515,0.007312660946187833,5
classification,ridge,ta_ratio_roc_6m_gld__x__ta_pgr_adx_63d,add_feature,trend_strength_interaction,regime,8,,,-0.03068686537132443,0.029616134673050337,-0.030151500022187385,2
classification,ridge,ta_ratio_roc_6m_gld__x__ta_pgr_adx_63d,replace_mom_12m,trend_strength_interaction,regime,8,,,-0.03224237705251918,0.010508242347899776,-0.021375309700209476,4
