benchmark,candidate_name,model_type,n_features,policy_name,threshold,notes,regression_ic,regression_oos_r2,brier_score,accuracy,balanced_accuracy,precision,recall,base_rate,predicted_positive_rate,avg_hold_fraction,mean_policy_return,uplift_vs_sell_50,uplift_vs_regression_sign
BNDX,ridge_lean_v1,ridge,12,regression_sign,,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.7307692307692307,0.1082784863421787,0.059108087321326025,0.0
BNDX,ridge_lean_v1,ridge,12,classifier_only_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.5512820512820513,0.08139429982546453,0.032223900804611856,-0.026884186516714162
BNDX,ridge_lean_v1,ridge,12,hybrid_confirm_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.5512820512820513,0.08139429982546453,0.032223900804611856,-0.026884186516714162
BNDX,ridge_lean_v1,ridge,12,classifier_only_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.5384615384615384,0.07980503154539201,0.03063463252453933,-0.028473454796786687
BNDX,ridge_lean_v1,ridge,12,hybrid_confirm_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.5384615384615384,0.07980503154539201,0.03063463252453933,-0.028473454796786687
BNDX,ridge_lean_v1,ridge,12,classifier_only_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.48717948717948717,0.0712521192722533,0.022081720251400632,-0.03702636706992539
BNDX,ridge_lean_v1,ridge,12,hybrid_confirm_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.46423197056108445,-0.22948336333880448,0.2771284673177279,0.6794871794871795,0.6939935064935066,0.8604651162790697,0.6607142857142857,0.717948717948718,0.5512820512820513,0.48717948717948717,0.0712521192722533,0.022081720251400632,-0.03702636706992539
BNDX,gbt_lean_plus_two,gbt,13,regression_sign,,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.9102564102564102,0.09061391802842537,0.041443519007572704,0.0
BNDX,gbt_lean_plus_two,gbt,13,classifier_only_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5256410256410257,0.05317544993099821,0.004005050910145543,-0.037438468097427166
BNDX,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.50,0.5,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5256410256410257,0.05317544993099821,0.004005050910145543,-0.037438468097427166
BNDX,gbt_lean_plus_two,gbt,13,classifier_only_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5128205128205128,0.04866500548872795,-0.0005053935321247232,-0.041948912539697424
BNDX,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.55,0.55,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5128205128205128,0.04866500548872795,-0.0005053935321247232,-0.041948912539697424
BNDX,gbt_lean_plus_two,gbt,13,classifier_only_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5128205128205128,0.04866500548872795,-0.0005053935321247232,-0.041948912539697424
BNDX,gbt_lean_plus_two,gbt,13,hybrid_confirm_0.60,0.6,Adds the two strongest v9 GBT add-one winners.,0.19095312170200623,-0.23452681182771862,0.3334321112934382,0.5512820512820513,0.549512987012987,0.7560975609756098,0.5535714285714286,0.717948717948718,0.5256410256410257,0.5128205128205128,0.04866500548872795,-0.0005053935321247232,-0.041948912539697424
BNDX,elasticnet_lean_v1,elasticnet,13,regression_sign,,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.7051282051282052,0.08550544142082221,0.03633504239996955,0.0
BNDX,elasticnet_lean_v1,elasticnet,13,classifier_only_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.41025641025641024,0.05725200381009904,0.00808160478924636,-0.028253437610723173
BNDX,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.50,0.5,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.41025641025641024,0.05725200381009904,0.00808160478924636,-0.028253437610723173
BNDX,elasticnet_lean_v1,elasticnet,13,classifier_only_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.358974358974359,0.06301631821058641,0.013845919189733737,-0.0224891232102358
BNDX,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.55,0.55,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.358974358974359,0.06301631821058641,0.013845919189733737,-0.0224891232102358
BNDX,elasticnet_lean_v1,elasticnet,13,classifier_only_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.34615384615384615,0.06316637307067174,0.01399597404981905,-0.022339068350150468
BNDX,elasticnet_lean_v1,elasticnet,13,hybrid_confirm_0.60,0.6,Drops weaker macro features and adds the strongest v9 add-one winners.,0.15344119183969712,-0.6490676043238992,0.3732307357181994,0.48717948717948717,0.5324675324675324,0.75,0.42857142857142855,0.717948717948718,0.41025641025641024,0.34615384615384615,0.06316637307067174,0.01399597404981905,-0.022339068350150468
BND,ridge_lean_v1,ridge,12,regression_sign,,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.7266666666666667,0.09263298066431477,0.043018025553232433,0.0
BND,ridge_lean_v1,ridge,12,classifier_only_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.5533333333333333,0.07519723213898008,0.025582277027897737,-0.017435748525334693
BND,ridge_lean_v1,ridge,12,hybrid_confirm_0.50,0.5,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.5266666666666666,0.07232236665245305,0.022707411541370723,-0.020310614011861725
BND,ridge_lean_v1,ridge,12,classifier_only_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.54,0.07208967410400448,0.02247471899292214,-0.020543306560310295
BND,ridge_lean_v1,ridge,12,hybrid_confirm_0.55,0.55,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.5133333333333333,0.06921480861747746,0.019599853506395128,-0.023418172046837313
BND,ridge_lean_v1,ridge,12,classifier_only_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.52,0.07132707708746257,0.021712121976380238,-0.021305903576852206
BND,ridge_lean_v1,ridge,12,hybrid_confirm_0.60,0.6,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.,0.43988266145162014,-0.4406650109003325,0.256983054243432,0.6333333333333333,0.6414473684210527,0.8433734939759037,0.625,0.7466666666666667,0.5533333333333333,0.49333333333333335,0.06845221160093556,0.018837256489853224,-0.02418076906337921
